merged,gen,predicted.value,weight
BLUE_ID_2018_2,132,3.7370802908,0.9839628592
BLUE_ID_2018_2,133,5.9690321932,0.9839628592
BLUE_ID_2018_2,134,4.6106974134,0.9839628592
BLUE_ID_2018_2,135,2.6553657973,0.9839628592
BLUE_ID_2018_2,136,4.1954990595,0.9821318653
BLUE_ID_2018_2,137,3.9363070329,0.9839628592
BLUE_ID_2018_2,138,1.7055164173,0.9839628592
BLUE_ID_2018_2,139,3.4754990595,0.9821318653
BLUE_ID_2018_2,140,1.8813113724,0.9839628592
BLUE_ID_2018_2,141,3.3053657973,0.9839628592
BLUE_ID_2018_2,142,4.3054990595,0.9821318653
BLUE_ID_2018_2,143,1.1853657973,0.9839628592
BLUE_ID_2018_2,144,3.6406974134,0.9839628592
BLUE_ID_2018_2,145,6.0190321932,0.9839628592
BLUE_ID_2018_2,146,4.4863070329,0.9839628592
BLUE_ID_2018_2,147,4.5006974134,0.9839628592
BLUE_ID_2018_2,148,4.4355164173,0.9839628592
BLUE_ID_2018_2,149,5.7006974134,0.9839628592
BLUE_ID_2018_2,150,4.0106974134,0.9839628592
BLUE_ID_2018_2,151,2.6506974134,0.9839628592
BLUE_ID_2018_2,152,4.2155164173,0.9839628592
BLUE_ID_2018_2,153,2.1390321932,0.9839628592
BLUE_ID_2018_2,154,4.9970802908,0.9839628592
BLUE_ID_2018_2,155,2.6506974134,0.9839628592
BLUE_ID_2018_2,156,4.2663070329,0.9839628592
BLUE_ID_2018_2,157,4.0294608166,0.9839628592
BLUE_ID_2018_2,158,4.0394608166,0.9839628592
BLUE_ID_2018_2,159,4.4506974134,0.9839628592
BLUE_ID_2018_2,160,2.8490321932,0.9839628592
BLUE_ID_2018_2,161,3.1406974134,0.9839628592
BLUE_ID_2018_2,162,3.0306974134,0.9839628592
BLUE_ID_2018_2,163,3.3053657973,0.9839628592
BLUE_ID_2018_2,164,4.8306974134,0.9839628592
BLUE_ID_2018_2,165,3.8513113724,0.9839628592
BLUE_ID_2018_2,166,5.7070802908,0.9839628592
BLUE_ID_2018_2,167,1.3790321932,0.9839628592
BLUE_ID_2018_2,168,1.2306974134,0.9839628592
BLUE_ID_2018_2,169,2.9894608166,0.9839628592
BLUE_ID_2018_2,170,5.5913113724,0.9839628592
BLUE_ID_2018_2,171,4.4553657973,0.9839628592
BLUE_ID_2018_2,172,2.9294608166,0.9839628592
BLUE_ID_2018_2,173,3.8263070329,0.9839628592
BLUE_ID_2018_2,174,4.8306974134,0.9839628592
BLUE_ID_2018_2,175,4.8190321932,0.9839628592
BLUE_ID_2018_2,176,4.9453657973,0.9839628592
BLUE_ID_2018_2,177,4.4094608166,0.9839628592
BLUE_ID_2018_2,178,4.2370802908,0.9839628592
BLUE_ID_2018_2,179,2.1006974134,0.9839628592
BLUE_ID_2018_2,180,3.1494608166,0.9839628592
BLUE_ID_2018_2,181,4.9790321932,0.9839628592
BLUE_ID_2018_2,182,4.3413113724,0.9839628592
BLUE_ID_2018_2,183,5.3155164173,0.9839628592
BLUE_ID_2018_2,184,4.1213113724,0.9839628592
BLUE_ID_2018_2,185,1.7253657973,0.9839628592
BLUE_ID_2018_2,186,3.3006974134,0.9839628592
BLUE_ID_2018_2,187,3.9694608166,0.9839628592
BLUE_ID_2018_2,188,2.6390321932,0.9839628592
BLUE_ID_2018_2,189,2.7363070329,0.9839628592
BLUE_ID_2018_2,190,5.4813113724,0.9839628592
BLUE_ID_2018_2,191,1.2755164173,0.9839628592
BLUE_ID_2018_2,192,3.4113113724,0.9839628592
BLUE_ID_2018_2,193,2.0855164173,0.9839628592
BLUE_ID_2018_2,194,4.7253657973,0.9839628592
BLUE_ID_2018_2,195,2.4806974134,0.9839628592
BLUE_ID_2018_2,196,4.4355164173,0.9839628592
BLUE_ID_2018_2,197,2.4063070329,0.9839628592
BLUE_ID_2018_2,198,4.2813113724,0.9839628592
BLUE_ID_2018_2,201,3.4454545455,10.8217604576
BLUE_ID_2018_2,202,3.4672727273,10.8217604576
BLUE_ID_2018_3,1,2.1299991812,4.0367564932
BLUE_ID_2018_3,2,1.9699995312,4.0367564932
BLUE_ID_2018_3,3,2.2100005811,4.0367564932
BLUE_ID_2018_3,4,1.9700005811,4.0367564932
BLUE_ID_2018_3,5,0.9799991812,4.0367564932
BLUE_ID_2018_3,6,2.2899996135,4.0367564932
BLUE_ID_2018_3,7,2.3799995517,4.0367564932
BLUE_ID_2018_3,8,1.8000005811,4.0367564932
BLUE_ID_2018_3,9,0.6599995312,4.0367564932
BLUE_ID_2018_3,10,1.6600005811,4.0367564932
BLUE_ID_2018_3,11,2.0700017752,4.0367564932
BLUE_ID_2018_3,12,NA,NA
BLUE_ID_2018_3,13,NA,NA
BLUE_ID_2018_3,14,1.6899991812,4.0367564932
BLUE_ID_2018_3,15,1.6899996135,4.0367564932
BLUE_ID_2018_3,16,0.3800004885,4.0367564932
BLUE_ID_2018_3,17,2.5099996959,4.0367564932
BLUE_ID_2018_3,18,2.2399996959,4.0367564932
BLUE_ID_2018_3,19,1.6400017752,4.0367564932
BLUE_ID_2018_3,20,2.0200017752,4.0367564932
BLUE_ID_2018_3,21,2.0200017752,4.0367564932
BLUE_ID_2018_3,22,2.0699999635,4.0367564932
BLUE_ID_2018_3,23,1.5799999635,4.0367564932
BLUE_ID_2018_3,24,1.1399996959,4.0367564932
BLUE_ID_2018_3,25,1.7899996959,4.0367564932
BLUE_ID_2018_3,26,2.9500005811,4.0367564932
BLUE_ID_2018_3,27,2.5799991812,4.0367564932
BLUE_ID_2018_3,28,NA,NA
BLUE_ID_2018_3,29,NA,NA
BLUE_ID_2018_3,30,1.8600005811,4.0367564932
BLUE_ID_2018_3,31,NA,NA
BLUE_ID_2018_3,32,1.9099996959,4.0367564932
BLUE_ID_2018_3,33,1.1499996135,4.0367564932
BLUE_ID_2018_3,34,2.1799999635,4.0367564932
BLUE_ID_2018_3,35,1.7499991812,4.0367564932
BLUE_ID_2018_3,36,1.5299995517,4.0367564932
BLUE_ID_2018_3,37,NA,NA
BLUE_ID_2018_3,38,3.1099991812,4.0367564932
BLUE_ID_2018_3,39,NA,NA
BLUE_ID_2018_3,40,2.0700004885,4.0367564932
BLUE_ID_2018_3,41,2.0199995826,4.0367564932
BLUE_ID_2018_3,42,NA,NA
BLUE_ID_2018_3,43,0.6600004885,4.0367564932
BLUE_ID_2018_3,44,3.6300004885,4.0367564932
BLUE_ID_2018_3,45,1.9100017752,4.0367564932
BLUE_ID_2018_3,46,NA,NA
BLUE_ID_2018_3,47,2.2899995517,4.0367564932
BLUE_ID_2018_3,48,1.6400004885,4.0367564932
BLUE_ID_2018_3,49,1.8000017752,4.0367564932
BLUE_ID_2018_3,50,1.8599996959,4.0367564932
BLUE_ID_2018_3,51,2.6200004885,4.0367564932
BLUE_ID_2018_3,52,1.6100000356,4.0367564932
BLUE_ID_2018_3,53,1.4199991812,4.0367564932
BLUE_ID_2018_3,54,2.7999996135,4.0367564932
BLUE_ID_2018_3,55,1.3699996959,4.0367564932
BLUE_ID_2018_3,56,1.9099999635,4.0367564932
BLUE_ID_2018_3,57,1.7499995517,4.0367564932
BLUE_ID_2018_3,58,2.6800000356,4.0367564932
BLUE_ID_2018_3,59,1.5299995312,4.0367564932
BLUE_ID_2018_3,60,3.4899995826,4.0367564932
BLUE_ID_2018_3,61,2.5299999635,4.0367564932
BLUE_ID_2018_3,62,2.6200000356,4.0367564932
BLUE_ID_2018_3,63,1.3099995312,4.0367564932
BLUE_ID_2018_3,64,2.3500005811,4.0367564932
BLUE_ID_2018_3,65,2.0699995517,4.0367564932
BLUE_ID_2018_3,66,2.0799996135,4.0367564932
BLUE_ID_2018_3,67,1.9699996959,4.0367564932
BLUE_ID_2018_3,68,NA,NA
BLUE_ID_2018_3,69,1.7100005811,4.0367564932
BLUE_ID_2018_3,70,1.8599991812,4.0367564932
BLUE_ID_2018_3,71,1.7499995517,4.0367564932
BLUE_ID_2018_3,72,2.1600004885,4.0367564932
BLUE_ID_2018_3,73,1.6099995312,4.0367564932
BLUE_ID_2018_3,74,2.0200005811,4.0367564932
BLUE_ID_2018_3,75,1.7499995826,4.0367564932
BLUE_ID_2018_3,76,2.0199999635,4.0367564932
BLUE_ID_2018_3,77,1.4700000356,4.0367564932
BLUE_ID_2018_3,78,1.8600004885,4.0367564932
BLUE_ID_2018_3,79,1.8599995312,4.0367564932
BLUE_ID_2018_3,80,1.7500004885,4.0367564932
BLUE_ID_2018_3,81,2.2400017752,4.0367564932
BLUE_ID_2018_3,82,1.5800000356,4.0367564932
BLUE_ID_2018_3,83,2.6200005811,4.0367564932
BLUE_ID_2018_3,84,2.6199996959,4.0367564932
