Location,Block,Position,ID,Treatment,row,col
OR,7,8,30708,151,64,1
OR,7,9,30709,142,65,2
OR,7,10,30710,117,65,1
OR,7,11,30711,111,66,2
OR,7,12,30712,166,66,1
OR,7,13,30713,186,67,2
OR,7,14,30714,24,67,1
OR,7,15,30715,143,68,2
OR,7,16,30716,168,68,1
OR,7,17,30717,132,69,2
OR,7,18,30718,174,69,1
OR,7,19,30719,202,70,2
OR,7,20,30720,20,70,1
OR,8,1,30801,58,71,2
OR,8,2,30802,66,71,1
OR,8,3,30803,36,72,2
OR,8,4,30804,19,72,1
OR,8,5,30805,169,73,2
OR,8,6,30806,118,73,1
OR,8,7,30807,201,74,2
OR,8,8,30808,91,74,1
OR,8,9,30809,105,75,2
OR,8,10,30810,72,75,1
OR,8,11,30811,158,76,2
OR,8,12,30812,141,76,1
OR,8,13,30813,135,77,2
OR,8,14,30814,162,77,1
OR,8,15,30815,57,78,2
OR,8,16,30816,12,78,1
OR,8,17,30817,56,79,2
OR,8,18,30818,202,79,1
OR,8,19,30819,61,80,2
OR,8,20,30820,184,80,1
OR,9,1,30901,96,81,2
OR,9,2,30902,114,81,1
OR,9,3,30903,64,82,2
OR,9,4,30904,164,82,1
OR,9,5,30905,196,83,2
OR,9,6,30906,68,83,1
OR,9,7,30907,202,84,2
OR,9,8,30908,30,84,1
OR,9,9,30909,170,85,2
OR,9,10,30910,120,85,1
OR,9,11,30911,16,86,2
OR,9,12,30912,86,86,1
OR,9,13,30913,33,87,2
OR,9,14,30914,8,87,1
OR,9,15,30915,23,88,2
OR,9,16,30916,201,88,1
OR,9,17,30917,128,89,2
OR,9,18,30918,194,89,1
OR,9,19,30919,52,90,2
OR,9,20,30920,73,90,1
OR,10,1,31001,148,91,2
OR,10,2,31002,157,91,1
OR,10,3,31003,80,92,2
OR,10,4,31004,6,92,1
OR,10,5,31005,93,93,2
OR,10,6,31006,45,93,1
OR,10,7,31007,83,94,2
OR,10,8,31008,147,94,1
OR,10,9,31009,125,95,2
OR,10,10,31010,202,95,1
OR,10,11,31011,172,96,2
OR,10,12,31012,106,96,1
OR,10,13,31013,89,97,2
OR,10,14,31014,127,97,1
OR,10,15,31015,107,98,2
OR,10,16,31016,103,98,1
OR,10,17,31017,201,99,2
OR,10,18,31018,7,99,1
OR,10,19,31019,32,100,2
OR,10,20,31020,175,100,1
OR,11,1,31101,2,101,2
OR,11,2,31102,11,101,1
OR,11,3,31103,201,102,2
OR,11,4,31104,5,102,1
OR,11,5,31105,180,103,2
OR,11,6,31106,136,103,1
OR,11,7,31107,9,104,2
OR,11,8,31108,26,104,1
OR,11,9,31109,53,105,2
OR,11,10,31110,1,105,1
OR,11,11,31111,198,106,2
OR,11,12,31112,42,106,1
OR,11,13,31113,43,107,2
OR,11,14,31114,14,107,1
OR,11,15,31115,163,108,2
OR,11,16,31116,130,108,1
OR,11,17,31117,97,109,2
OR,11,18,31118,202,109,1
OR,11,19,31119,124,110,2
OR,11,20,31120,35,110,1
