env,block,id,position,row,col,resp,cov1,cov2
ID_2019_1,11,146,11,53,2,2.5,2.7,2.5
ID_2019_1,11,94,10,53,3,2.7,2.7,2.5
ID_2019_1,11,202,9,53,4,2.5,2.7,2.5
ID_2019_1,11,99,16,54,1,2.6,2.7,2.5
ID_2019_1,11,24,15,54,2,2.1,2.7,2.5
ID_2019_1,11,31,14,54,3,2.2,2.7,2.5
ID_2019_1,11,55,13,54,4,2.2,2.7,2.5
ID_2019_1,11,32,20,55,1,2.4,2.7,2.5
ID_2019_1,11,50,19,55,2,2.5,2.7,2.5
ID_2019_1,11,67,18,55,3,3,2.7,2.5
ID_2019_1,11,137,17,55,4,2,2.7,2.5
OR_2018_1,1,90,2,1,1,1.9,2.3,2
OR_2018_1,1,34,1,1,2,2.4,2.3,2
OR_2018_1,1,55,4,2,1,2.1,2.3,2
OR_2018_1,1,201,3,2,2,2.3,2.3,2
OR_2018_1,1,192,6,3,1,2.2,2.3,2
OR_2018_1,1,10,5,3,2,2.1,2.3,2
OR_2018_1,1,48,8,4,1,2,2.3,2
OR_2018_1,1,145,7,4,2,2.1,2.3,2
OR_2018_1,1,159,10,5,1,2.2,2.3,2
OR_2018_1,1,74,9,5,2,2,2.3,2
OR_2018_1,1,95,12,6,1,2.5,2.3,2
OR_2018_1,1,176,11,6,2,2.5,2.3,2
OR_2018_1,1,81,14,7,1,2.7,2.3,2
OR_2018_1,1,190,13,7,2,2.2,2.3,2
OR_2018_1,1,123,16,8,1,2.4,2.3,2
OR_2018_1,1,167,15,8,2,2.6,2.3,2
OR_2018_1,1,160,18,9,1,2.2,2.3,2
OR_2018_1,1,46,17,9,2,2,2.3,2
OR_2018_1,1,202,20,10,1,2,2.3,2
OR_2018_1,1,18,19,10,2,2.1,2.3,2
OR_2018_1,2,121,2,11,1,2.4,2.2,2.7
OR_2018_1,2,178,1,11,2,3.2,2.2,2.7
OR_2018_1,2,65,4,12,1,2.5,2.2,2.7
OR_2018_1,2,173,3,12,2,2.2,2.2,2.7
OR_2018_1,2,25,6,13,1,2.5,2.2,2.7
OR_2018_1,2,181,5,13,2,2.2,2.2,2.7
OR_2018_1,2,40,8,14,1,2.3,2.2,2.7
OR_2018_1,2,153,7,14,2,2.6,2.2,2.7
OR_2018_1,2,201,10,15,1,2.2,2.2,2.7
OR_2018_1,2,78,9,15,2,2.4,2.2,2.7
